AtomicNumber,Symbol,EnglishName,PersianName,AtomicMass,GroupNumber,PeriodNumber,ElectronConfiguration,ValenceElectrons,StandardState,Block,ElementType,AtomicRadius,Electronegativity
54,Xe,Xenon,زنون,131.293,18 - Noble Gas,5,[Kr]5s24d105p6,8,Gas,p,Non-metal,140(9) pm (Covalent),2.6
55,Cs,Cesium,سزیم,132.90545196,1 - Alkali Metal,6,[Xe]6s1,1,Solid,s,Metal,260,0.79
56,Ba,Barium,باریم,137.327,2 - Alkaline Earth Metal,6,[Xe]6s2,2,Solid,s,Metal,215,0.89
57,La,Lanthanum,لانتان,138.90547,- Lanthanide,6,[Xe]6s25d1,,Solid,f,Metal,195,1.1
58,Ce,Cerium,سریم,140.116,- Lanthanide,6,[Xe]6s24f15d1,,Solid,f,Metal,185,1.12
59,Pr,Praseodymium,پراسئودیمیم,140.90766,- Lanthanide,6,[Xe]6s24f3,,Solid,f,Metal,185,1.13
60,Nd,Neodymium,نئودیمیم,144.242,- Lanthanide,6,[Xe]6s24f4,,Solid,f,Metal,185,1.14
61,Pm,Promethium,پرومتیم,145,- Lanthanide,6,[Xe]6s24f5,,Solid,f,Metal,185,
62,Sm,Samarium,ساماریم,150.36,- Lanthanide,6,[Xe]6s24f6 ,,Solid,f,Metal,185,1.17
63,Eu,Europium,یوروپیم,151.964,- Lanthanide,6,[Xe]6s24f7 ,,Solid,f,Metal,185,
64,Gd,Gadolinium,گادولینیم,157.25,- Lanthanide,6,[Xe]6s24f75d1,,Solid,f,Metal,180,1.2
65,Tb,Terbium,تربیم,158.92535,- Lanthanide,6,[Xe]6s24f9,,Solid,f,Metal,175,
66,Dy,Dysprosium,دیسپروزیم,162.500,- Lanthanide,6,[Xe]6s24f10,,Solid,f,Metal,175,1.22
67,Ho,Holmium,هولمیم,164.93033,- Lanthanide,6,[Xe]6s24f11,,Solid,f,Metal,175,1.23
68,Er,Erbium,اربیم,167.259,- Lanthanide,6,[Xe]6s24f12,,Solid,f,Metal,175,1.24
69,Tm,Thulium,تولیم,168.93422,- Lanthanide,6,[Xe]6s24f13,,Solid,f,Metal,175,1.25
70,Yb,Ytterbium,ایتربیم,173.045,- Lanthanide,6,[Xe]6s24f14,,Solid,f,Metal,175,
71,Lu,Lutetium,لوتتیم,174.9668,3 - Lanthanide,6,[Xe]6s24f145d1,,Solid,f,Metal,175,1.27
72,Hf,Hafnium,هافنیوم,178.49,4,6,[Xe]6s24f145d2,,Solid,d,Metal,155,1.3
73,Ta,Tantalum,تانتال,180.94788,5,6,[Xe]6s24f145d3,,Solid,d,Metal,145,1.5
74,W,Tungsten,تنگستن,183.84,6,6,[Xe]6s24f145d4,,Solid,d,Metal,135,2.36
75,Re,Rhenium,رنیوم,186.207,7,6,[Xe]6s24f145d5,,Solid,d,Metal,135,1.9
76,Os,Osmium,اسمیم,190.23,8,6,[Xe]6s24f145d6,,Solid,d,Metal,130,2.2
77,Ir,Iridium,ایریدیم,192.217,9,6,[Xe]6s24f145d7,,Solid,d,Metal,135,2.2
78,Pt,Platinum,پلاتین,195.084,10,6,[Xe]6s14f145d9,,Solid,d,Metal,135,2.28
79,Au,Gold,طلا,196.966569,11,6,[Xe]6s14f145d10,,Solid,d,Metal,135,2.54
80,Hg,Mercury,جیوه,200.592,12,6,[Xe]6s24f145d10,,Liquid,d,Metal,150,2
