AtomicNumber,Symbol,PersianName,Name,Atomic Mass,Density,Standard State,Electronegativity,Ionization Energy,Electron Configuration,Atomic Radius,Oxidation States,Electron Affinity,Melting Point,Boiling Point,Year Discovered,Metal / Metalloid / Nonmetal,Chemical Group / Family
38,Sr,استرانسیم,Strontium,87.62,2.64,Solid,0.95,5.695,[Kr]5s2,249,+2,,1050,1655,1790,Metal,Alkaline earth metal
39,Y,ایتریم,Yttrium,88.90584,4.47,Solid,1.22,6.217,[Kr]5s2 4d1,219,+3,0.307,1795,3618,1794,Metal,Transition metal
40,Zr,زیرکونیم,Zirconium,91.22,6.52,Solid,1.33,6.634,[Kr]5s2 4d2,186,+4,0.426,2128,4682,1789,Metal,Transition metal
41,Nb,نیوبیم,Niobium,92.90637,8.57,Solid,1.6,6.759,[Kr]5s1 4d4,207,"+5, +3",0.893,2750,5017,1801,Metal,Transition metal
42,Mo,مولیبدن,Molybdenum,95.95,10.2,Solid,2.16,7.092,[Kr]5s1 4d5,209,+6,0.746,2896,4912,1778,Metal,Transition metal
43,Tc,تکنسیم,Technetium,96.90636,11,Solid,1.9,7.28,[Kr]5s2 4d5,209,"+7, +6, +4",0.55,2430,4538,1937,Metal,Transition metal
44,Ru,روتنیم,Ruthenium,101.1,12.1,Solid,2.2,7.361,[Kr]5s1 4d7,207,+3,1.05,2607,4423,1827,Metal,Transition metal
45,Rh,رودیم,Rhodium,102.9055,12.4,Solid,2.28,7.459,[Kr]5s1 4d8,195,+3,1.137,2237,3968,1803,Metal,Transition metal
46,Pd,پالادیم,Palladium,106.42,12.0,Solid,2.2,8.337,[Kr]4d10,202,"+3, +2",0.557,1828.05,3236,1803,Metal,Transition metal
47,Ag,نقره,Silver,107.868,10.501,Solid,1.93,7.576,[Kr]5s1 4d10,172,+1,1.302,1234.93,2435,Ancient,Metal,Transition metal
48,Cd,کادمیم,Cadmium,112.41,8.69,Solid,1.69,8.994,[Kr]5s2 4d10,158,+2,,594.22,1040,1817,Metal,Transition metal
49,In,ایندیم,Indium,114.818,7.31,Solid,1.78,5.786,[Kr]5s2 4d10 5p1,193,+3,0.3,429.75,2345,1863,Metal,Post-transition metal
